player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
1132570,Ahmed Basil Fadhil,Iraq,5819,1996-08-19,keeper,101655.0,Al Shorta,186.0,both,
1132572,Ali Yousif,Iraq,5819,1996-01-19,forward,101660.0,Al Talaba,180.0,right,
1138592,Zidane Iqbal,Iraq,5819,2003-04-27,defensive midfielder,278960.0,Jong FC Utrecht,181.0,right,1264124.0
1162514,Marko Lawk Farji,Iraq,5819,2004-03-16,left winger,7881.0,Venezia,184.0,right,1294373.0
1199113,Merchas Doski,Iraq,5819,1999-12-07,left back,6033.0,Viktoria Plzen,173.0,left,1006854.0
1224691,Ahmed Qasem,Iraq,5819,2003-07-12,left midfielder,915807.0,Nashville SC,183.0,left,2787348.0
1235623,Youssef Amyn,Iraq,5819,2003-08-21,right midfielder,7797.0,AEK Larnaca,175.0,right,324616.0
1333336,Manaf Younis,Iraq,5819,1996-11-16,center back,101655.0,Al Shorta,190.0,right,
1420369,Zaid Tahseen,Iraq,5819,2001-01-29,center back,101656.0,Al Quwa Al Jawiya,193.0,right,186354.0
1478238,Ali Jasim,Iraq,5819,2004-01-20,left winger,10171.0,Como,178.0,right,445355.0
1554123,Mustafa Saadoun,Iraq,5819,2001-05-25,right back,101655.0,Al Shorta,182.0,right,
1606279,Akam Hashem,Iraq,5819,1998-08-16,center back,101659.0,Al Zawraa,184.0,left,
1642810,Ahmed Maknzi,Iraq,5819,2001-09-24,left back,1680577.0,Al-Karma,183.0,left,
1642820,Zaid Ismael,Iraq,5819,2002-01-03,central midfielder,101660.0,Al Talaba,185.0,right,
320139,Frans Putros,Iraq,5819,1993-07-14,central midfielder,165196.0,Persib Bandung,181.0,right,59148.0
502481,Rebin Sulaka,Iraq,5819,1992-04-12,center back,165255.0,Port FC,192.0,right,71318.0
533495,Fahad Talib,Iraq,5819,1994-10-21,keeper,101660.0,Al Talaba,193.0,right,
578761,Jalal Hassan,Iraq,5819,1991-05-18,keeper,101659.0,Al Zawraa,185.0,right,
674332,Ayman Hussein,Iraq,5819,1996-03-22,striker,1680577.0,Al-Karma,189.0,right,192052.0
858340,Amir Al-Ammari,Iraq,5819,1997-07-27,central midfielder,2186.0,Cracovia,180.0,left,625761.0
926484,Mohanad Ali,Iraq,5819,2000-06-20,striker,391664.0,Dibba Al Fujairah,183.0,right,1040176.0
941579,Kevin Yakob,Iraq,5819,2000-10-10,central midfielder,8071.0,AGF,184.0,right,481491.0
942834,Ibrahim Bayesh,Iraq,5819,2000-05-01,right midfielder,102118.0,Al-Dhafra,183.0,right,
1013276,Callan Elliot,New Zealand,5820,1999-07-07,right back,1642068.0,Auckland FC,177.0,right,227223.0
1034995,Ben Waine,New Zealand,5820,2001-06-11,striker,9799.0,Port Vale,179.0,right,463227.0
1053731,Nando Pijnaker,New Zealand,5820,1999-02-25,center back,1642068.0,Auckland FC,191.0,left,197573.0
1053736,Elijah Just,New Zealand,5820,2000-05-01,attacking midfielder,9927.0,Motherwell,174.0,left,970248.0
115025,Tommy Smith,New Zealand,5820,1990-03-31,center back,5763.0,Braintree Town,185.0,left,50000.0
1209597,Marko Stamenic,New Zealand,5820,2002-02-19,defensive midfielder,10003.0,Swansea City,188.0,right,2939396.0
1257745,Benjamin Old,New Zealand,5820,2002-08-13,left back,9853.0,Saint-Etienne,173.0,left,874403.0
1272118,Alex Paulsen,New Zealand,5820,2002-07-04,keeper,9927.0,Motherwell,183.0,right,1004887.0
128949,Michael Boxall,New Zealand,5820,1988-08-18,center back,207242.0,Minnesota United,188.0,right,104588.0
1325761,Finn Surman,New Zealand,5820,2003-09-23,center back,307690.0,Portland Timbers,190.0,right,1360702.0
1460327,Jesse Randall,New Zealand,5820,2002-08-19,left midfielder,1642068.0,Auckland FC,176.0,right,520609.0
1565865,Lachlan Bayliss,New Zealand,5820,2002-07-24,attacking midfielder,1642068.0,Auckland FC,178.0,right,316287.0
169719,Chris Wood,New Zealand,5820,1991-12-07,striker,10203.0,Nottingham Forest,191.0,right,5447184.0
315201,Max Crocombe,New Zealand,5820,1993-08-12,keeper,10004.0,Millwall,194.0,right,652638.0
324305,Tim Payne,New Zealand,5820,1994-01-10,right back,6619.0,Olimpia,179.0,right,163817.0
496356,Ryan Thomas,New Zealand,5820,1994-12-20,defensive midfielder,6413.0,PEC Zwolle,174.0,right,510759.0
519240,Alex Rufer,New Zealand,5820,1996-06-12,central midfielder,78785.0,Wellington Phoenix,184.0,right,219025.0
676431,Logan Rogerson,New Zealand,5820,1998-05-28,right midfielder,1642068.0,Auckland FC,182.0,right,211639.0
724531,Sarpreet Singh,New Zealand,5820,1999-02-20,attacking midfielder,676140.0,TSC Backa Topola,180.0,left,179554.0
825593,Francis de Vries,New Zealand,5820,1994-11-28,left back,1642068.0,Auckland FC,188.0,left,229464.0
848317,Michael Woud,New Zealand,5820,1999-01-16,keeper,1642068.0,Auckland FC,196.0,left,233750.0
848345,Joe Bell,New Zealand,5820,1999-04-27,defensive midfielder,8478.0,Viking,182.0,right,1631846.0
848352,Callum McCowatt,New Zealand,5820,1999-04-30,attacking midfielder,8415.0,Silkeborg,179.0,right,1473464.0
919671,Liberato Cacace,New Zealand,5820,2000-09-27,left wing-back,9841.0,Wrexham,184.0,left,1993062.0
96488,Kosta Barbarouses,New Zealand,5820,1990-02-19,striker,323834.0,Western Sydney Wanderers FC,171.0,both,176121.0
1054027,Carlos Dos Santos,Cape Verde,5888,2000-08-24,keeper,1701119.0,San Diego FC,194.0,right,652094.0
1165477,Telmo Arcanjo,Cape Verde,5888,2001-06-21,right winger,7844.0,Vitoria de Guimaraes,180.0,left,1896676.0
1175733,Kelvin Pires,Cape Verde,5888,2000-06-05,center back,162162.0,SJK,193.0,right,166193.0
1205410,Yannick Semedo,Cape Verde,5888,1995-12-29,central midfielder,6004.0,Farense,171.0,right,
1241301,João Paulo,Cape Verde,5888,1998-05-26,left back,9723.0,FCSB,180.0,left,400485.0
1241302,Gilson Benchimol,Cape Verde,5888,2001-12-29,striker,1068364.0,Akron Togliatti,177.0,right,814117.0
1309634,Dailon Livramento,Cape Verde,5888,2001-05-04,striker,9876.0,Hellas Verona,185.0,right,798402.0
1441786,Sidny Lopes Cabral,Cape Verde,5888,2002-09-18,left back,9752.0,Trabzonspor,170.0,both,1614076.0
