overall_rank,player_id,player_name,position,team_name,goals,assists,rating,performance_score,impact_score,cluster,cluster_name
94,850354,Bruno Guimarães,Central Midfielder,Newcastle United,11.0,13.0,7.043333333333335,9.421666666666669,34.5,0,Elite / Top Performers
95,843099,Scott McTominay,Defensive Midfielder,Napoli,17.0,4.0,7.032758620689655,9.416379310344828,34.48,3,Goal-Oriented Players
96,388903,Haris Tabakovic,Striker,Salzburg,19.0,3.0,6.130434782608695,9.365217391304348,34.29,3,Goal-Oriented Players
97,776299,Houssem Aouar,Attacking Midfielder,Al Ittihad,16.0,7.0,6.2285714285714295,9.314285714285717,34.1,0,Elite / Top Performers
98,743533,Federico Valverde,Right Back,Real Madrid,10.0,13.0,7.412280701754386,9.306140350877191,34.07,0,Elite / Top Performers
99,251269,Ante Budimir,Striker,Osasuna,20.0,1.0,6.183333333333333,9.291666666666666,34.02,0,Elite / Top Performers
100,843040,Pedro Neto,Right Winger,Chelsea,11.0,13.0,6.763235294117647,9.281617647058823,33.98,0,Elite / Top Performers
101,534684,Rúben Neves,Defensive Midfielder,Al Hilal,13.0,10.0,6.726666666666668,9.263333333333334,33.92,0,Elite / Top Performers
102,1077894,Jude Bellingham,Attacking Midfielder,Real Madrid,15.0,6.0,7.064814814814815,9.232407407407408,33.8,0,Elite / Top Performers
103,1095432,Charles De Ketelaere,Attacking Midfielder,Atalanta,12.0,11.0,6.836666666666667,9.218333333333334,33.75,0,Elite / Top Performers
104,848268,Haji Wright,Striker,Coventry City,20.0,2.0,5.580357142857143,9.190178571428572,33.65,3,Goal-Oriented Players
105,318615,Leandro Trossard,Left Winger,Beşiktaş,12.0,12.0,6.348571428571428,9.174285714285714,33.59,0,Elite / Top Performers
105,304733,Hakan Çalhanoglu,Central Midfielder,Inter,13.0,11.0,6.15,9.175,33.59,0,Elite / Top Performers
107,1181700,Danilo Santos,Defensive Midfielder,Botafogo RJ,14.0,8.0,6.535714285714286,9.067857142857145,33.2,0,Elite / Top Performers
108,530859,Leroy Sané,Right Winger,Galatasaray,11.0,12.0,6.546551724137931,8.973275862068967,32.86,0,Elite / Top Performers
109,1298669,Adil Boulbina,Left Winger,Al-Duhail SC,15.0,9.0,5.2875000000000005,8.943750000000001,32.75,0,Elite / Top Performers
109,1347574,Nico Paz,Attacking Midfielder,Como,15.0,7.0,6.09,8.945,32.75,0,Elite / Top Performers
111,941660,Brian Rodríguez,Left Winger,CF America,12.0,11.0,6.254545454545453,8.927272727272726,32.69,0,Elite / Top Performers
112,575735,Nicolas Pépé,Right Midfielder,Villarreal,12.0,11.0,6.193548387096774,8.896774193548387,32.58,0,Elite / Top Performers
113,766435,Lucas Paquetá,Attacking Midfielder,Flamengo,16.0,4.0,6.576271186440678,8.88813559322034,32.54,0,Elite / Top Performers
114,19533,Neymar,Striker,Santos FC,14.0,5.0,7.356249999999999,8.878125,32.51,0,Elite / Top Performers
115,614834,Dani Olmo,Attacking Midfielder,Barcelona,9.0,14.0,6.748529411764706,8.874264705882354,32.49,0,Elite / Top Performers
116,1134206,Mohamed Amoura,Striker,Wolfsburg,14.0,8.0,6.078431372549019,8.83921568627451,32.36,0,Elite / Top Performers
117,1074968,Jamie Leweling,Left Winger,VfB Stuttgart,11.0,12.0,6.259999999999999,8.83,32.33,0,Elite / Top Performers
118,844437,Amine Gouiri,Striker,Marseille,16.0,5.0,6.022222222222222,8.81111111111111,32.26,0,Elite / Top Performers
119,940334,José Fajardo,Striker,Universidad Catolica,18.0,2.0,5.989285714285714,8.794642857142856,32.2,0,Elite / Top Performers
120,1460327,Jesse Randall,Left Midfielder,Auckland FC,13.0,8.0,6.582222222222224,8.791111111111112,32.19,0,Elite / Top Performers
121,579747,Franck Kessié,Defensive Midfielder,Al Ahli,15.0,6.0,6.16774193548387,8.783870967741937,32.16,0,Elite / Top Performers
122,609505,Borja Iglesias,Striker,Celta Vigo,18.0,3.0,5.4867647058823525,8.743382352941175,32.01,0,Elite / Top Performers
123,1340895,Bilal El Khannouss,Attacking Midfielder,VfB Stuttgart,11.0,11.0,6.431428571428572,8.715714285714286,31.91,0,Elite / Top Performers
124,621882,Álex Zendejas,Right Winger,CF America,13.0,8.0,6.41111111111111,8.705555555555554,31.88,0,Elite / Top Performers
124,935409,Orkun Kökcü,Defensive Midfielder,Beşiktaş,11.0,11.0,6.416071428571428,8.708035714285714,31.88,0,Elite / Top Performers
126,1252132,Promise David,Striker,Union St.Gilloise,17.0,3.0,5.994000000000001,8.697,31.84,3,Goal-Oriented Players
126,845991,Yunus Akgün,Attacking Midfielder,Galatasaray,12.0,11.0,5.7898305084745765,8.694915254237287,31.84,0,Elite / Top Performers
128,292313,Raul Jiménez,Striker,Wolverhampton Wanderers,17.0,3.0,5.982758620689655,8.691379310344827,31.82,0,Elite / Top Performers
129,1106563,Nick Woltemade,Striker,Newcastle United,16.0,5.0,5.767142857142857,8.683571428571428,31.79,3,Goal-Oriented Players
130,1174844,Jovo Lukic,Striker,Universitatea Cluj,18.0,2.0,5.639999999999999,8.62,31.56,3,Goal-Oriented Players
131,1520063,Johan Manzambi,Defensive Midfielder,Aston Villa,12.0,8.0,6.814516129032257,8.607258064516127,31.52,0,Elite / Top Performers
132,840212,Agustín Canobbio,Right Winger,Fluminense,14.0,5.0,6.813636363636364,8.606818181818182,31.51,0,Elite / Top Performers
133,939569,Jonathan David,Striker,Juventus,15.0,6.0,5.730882352941177,8.56544117647059,31.36,0,Elite / Top Performers
134,619506,Mehdi Taremi,Striker,Olympiacos,17.0,4.0,5.27843137254902,8.53921568627451,31.27,0,Elite / Top Performers
135,356406,John McGinn,Right Winger,Aston Villa,12.0,9.0,6.273015873015874,8.536507936507936,31.26,0,Elite / Top Performers
136,1228558,Andreas Schjelderup,Left Winger,Benfica,12.0,10.0,5.829999999999998,8.514999999999999,31.18,0,Elite / Top Performers
136,169200,Kevin De Bruyne,Attacking Midfielder,Napoli,14.0,5.0,6.628947368421052,8.514473684210525,31.18,0,Elite / Top Performers
136,1235341,Musab Al-Juwayr,Central Midfielder,Al Qadsiah,8.0,14.0,6.630508474576271,8.515254237288136,31.18,0,Elite / Top Performers
139,1210893,Igor Matanovic,Striker,Freiburg,16.0,4.0,5.82295081967213,8.511475409836065,31.16,3,Goal-Oriented Players
140,840241,Ermedin Demirovic,Striker,VfB Stuttgart,15.0,5.0,5.991666666666667,8.495833333333334,31.11,0,Elite / Top Performers
141,690332,Jan Kuchta,Striker,Sparta Prague,14.0,10.0,4.558181818181819,8.47909090909091,31.05,0,Elite / Top Performers
142,848844,Rafael Leão,Striker,Milan,14.0,5.0,6.522222222222222,8.461111111111112,30.98,0,Elite / Top Performers
